,sporty,coef_sporty,food_cat,definition
2,yogurt,0.811885014,dairy,a custard-like food made from curdled milk
5,broccoli,0.742775478,vegetables,plant with dense clusters of tight green flower buds
9,tea,0.699508155,beverages,a beverage made by steeping tea leaves in water
11,dinner,0.674487786,,the main meal of the day served in the evening or at midday
13,burrito,0.662585311,dishes,a flour tortilla folded around a filling
17,bean,0.600715647,vegetables,any of various edible seeds of plants of the family Leguminosae used for food
27,asparagus,0.563607293,vegetables,plant whose succulent young shoots are cooked and eaten as a vegetable
28,ale,0.561932987,alcoholic beverages,a general name for beer made with a top fermenting yeast; in some of the United States an ale is (by law) a brew of more than 4% alcohol by volume
30,beans,0.558755249,vegetables,any of various edible seeds of plants of the family Leguminosae used for food
31,lunch,0.555930655,,a midday meal
32,sake,0.549608238,beverages,a reason for wanting something done
33,latte,0.549414251,beverages,strong espresso coffee with a topping of frothed steamed milk
37,coconut,0.528945516,fruits,the edible white meat of a coconut; often shredded for use in e.g. cakes and curries
38,kale,0.525488379,vegetables,informal terms for money
44,burritos,0.499768257,dishes,a flour tortilla folded around a filling
46,breakfast,0.497553254,,the first meal of the day (usually in the morning)
48,pizza,0.494210526,fast foods,Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese
50,fish,0.483246468,seafood,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
53,hummus,0.475044807,snack foods,"a thick spread made from mashed chickpeas, tahini, lemon juice and garlic; used especially as a dip for pita; originated in the Middle East"
69,almond,0.439935764,nuts,small bushy deciduous tree native to Asia and North Africa having pretty pink blossoms and highly prized edible nuts enclosed in a hard green hull; cultivated in southern Australia and California
71,gravy,0.437973039,sauces,"a sauce made by adding stock, flour, or other ingredients to the juice and fat that drips from cooking meats"
79,pilsner,0.426719895,alcoholic beverages,a pale lager with strong flavor of hops; first brewed in the Bohemian town of Pilsen
87,cookies,0.419117157,confectioneries,any of various small flat sweet cakes (`biscuit' is the British term)
88,rice,0.418915917,cereal grains and pasta,grains used as food either unpolished or more often polished
96,lemon,0.409382548,citrus,yellow oval fruit with juicy acidic flesh
108,seafood,0.396389421,seafood,edible fish (broadly including freshwater fish) or shellfish or roe etc
114,crackers,0.39401192,baking goods,a thin crisp wafer made of flour and water with or without leavening and shortening; unsweetened or semisweet
116,curry,0.391496843,herbs and spices,(East Indian cookery) a pungent dish of vegetables or meats flavored with curry powder and usually eaten with rice
126,carrot,0.383422163,vegetables,deep orange edible root of the cultivated carrot plant
129,lime,0.380233277,citrus,a caustic substance produced by heating limestone
131,hamburger,0.379185206,fast foods,"a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredients"
146,nuts,0.365782728,nuts,usually large hard-shelled seed
151,lotus,0.362847999,herbs and spices,native to eastern Asia; widely cultivated for its large pink or white flowers
155,caramel,0.361595301,sweets,firm chewy candy made from caramelized sugar and butter and milk
169,supper,0.351003983,,a light evening meal; served in early evening if dinner is at midday or served late in the evening at bedtime
172,berry,0.3471248,fruits,any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves
174,dock,0.34582874,herbs and spices,an enclosure in a court of law where the defendant sits during the trial
175,peppers,0.345785038,vegetables,climber having dark red berries (peppercorns) when fully ripe; southern India and Sri Lanka; naturalized in northern Burma and Assam
178,cauliflower,0.342630654,vegetables,a plant having a large edible head of crowded white flower buds
181,greens,0.34110705,vegetables,any of various leafy plants or their leaves and stems eaten as vegetables
182,noodles,0.34032345,cereal grains and pasta,a ribbonlike strip of pasta
184,loaf,0.336618711,meats,a shaped mass of baked bread that is usually sliced before eating
187,olive,0.335819766,vegetables,small ovoid fruit of the European olive tree; important food and source of oil
196,cereal,0.329533531,breakfast cereals,grass whose starchy grains are used as food: wheat; rice; rye; oats; maize; buckwheat; millet
200,salad,0.328348321,dishes,food mixtures either arranged on a plate or tossed and served with a moist dressing; usually consisting of or including greens
204,avocado,0.32635221,vegetables,a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed
209,bitter,0.325432842,,English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft)
213,sipping,0.323865564,beverages,drink in sips
223,casserole,0.321322033,dishes,food cooked and served in a casserole
226,snacks,0.320235212,snack foods,a light informal meal
228,pear,0.319051103,fruits,sweet juicy gritty-textured fruit available in many varieties
233,soup,0.316431241,soups,liquid food especially of meat or fish or vegetable stock often containing pieces of solid food
235,pies,0.315089069,dishes,dish baked in pastry-lined pan often with a pastry top
243,blackberries,0.311690073,fruits,large sweet black or very dark purple edible aggregate fruit of any of various bushes of the genus Rubus
244,taco,0.311258586,dishes,(ethnic slur) offensive term for a person of Mexican descent
262,stew,0.304458651,dishes,agitation resulting from active worry
266,zucchini,0.303601516,vegetables,marrow squash plant whose fruit are eaten when small
269,pasta,0.303363666,cereal grains and pasta,a dish that contains pasta as its main ingredient
270,oatmeal,0.303062543,breakfast cereals,porridge made of rolled oats
272,ginger,0.301906106,herbs and spices,perennial plants having thick branching aromatic rhizomes and leafy reedlike stems
276,chicken,0.300327517,poultry,the flesh of a chicken used for food
283,spinach,0.297972591,vegetables,southwestern Asian plant widely cultivated for its succulent edible dark green leaves
286,rape,0.297060405,vegetables,Eurasian plant cultivated for its seed and as a forage crop
307,cappuccino,0.286703976,beverages,equal parts of espresso and hot milk topped with cinnamon and nutmeg and usually whipped cream
309,raisin,0.285937958,fruits,dried grape
313,subs,0.283127734,,a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States
314,cracker,0.28273836,snack foods,a thin crisp wafer made of flour and water with or without leavening and shortening; unsweetened or semisweet
319,oats,0.280544211,breakfast cereals,annual grass of Europe and North Africa; grains used as food and fodder (referred to primarily in the plural: `oats')
326,cob,0.278631457,dishes,nut of any of several trees of the genus Corylus
336,romaine,0.277181031,vegetables,lettuce with long dark-green leaves in a loosely packed elongated head
339,thyme,0.276460585,herbs and spices,any of various mints of the genus Thymus
340,potatoes,0.276282252,vegetables,an edible tuber native to South America; a staple food of Ireland
345,scotch,0.275611495,alcoholic beverages,a slight surface cut (especially a notch that is made to keep a tally)
346,crab,0.275378671,seafood,decapod having eyes on short stalks and a broad flattened carapace with a small abdomen folded under the thorax and pincers
362,barley,0.270830348,,a grain of barley
365,nestle,0.270000077,sweets,a close and affectionate (and often prolonged) embrace
371,berries,0.268850239,fruits,any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves
386,pastrami,0.266123786,meats,highly seasoned cut of smoked beef
390,pancake,0.265514956,dishes,a flat cake of thin batter fried on both sides on a griddle
393,jam,0.264284122,fruits,preserve of crushed fruit
395,tamale,0.263424162,dishes,a city in northern Ghana
407,chia,0.259059811,herbs and spices,
